name,from_team,team,player_id,note
Jose Dore,San Diego Padres,Chicago Cubs,592270,San Diego Padres traded 1B Jose Dore to Chicago Cubs.
Ian Krol,Oakland Athletics,Washington Nationals,571871,Oakland Athletics traded LHP Ian Krol to Washington Nationals.
Stephen Parker,Oakland Athletics,Milwaukee Brewers,572013,Oakland Athletics traded 3B Stephen Parker to Milwaukee Brewers for RHP Darren Byrd.
Darren Byrd,Milwaukee Brewers,Oakland Athletics,455379,Oakland Athletics traded 3B Stephen Parker to Milwaukee Brewers for RHP Darren Byrd.
John McDonald,Arizona Diamondbacks,Pittsburgh Pirates,150348,Arizona Diamondbacks traded SS John McDonald to Pittsburgh Pirates.
Justin Greene,Chicago White Sox,Arizona Diamondbacks,543247,Chicago White Sox traded OF Justin Greene to Arizona Diamondbacks.
Gonzalo Sanudo,Minnesota Twins,Houston Astros,602513,Houston Astros traded RF Mike Kvasnicka to Minnesota Twins for RHP Gonzalo Sanudo.
Mike Kvasnicka,Houston Astros,Minnesota Twins,518909,Houston Astros traded RF Mike Kvasnicka to Minnesota Twins for RHP Gonzalo Sanudo.
Curt Casali,Detroit Tigers,Tampa Bay Rays,592200,Detroit Tigers traded C Curt Casali to Tampa Bay Rays.
Jairo Asencio,Milwaukee Brewers,Baltimore Orioles,446003,Milwaukee Brewers traded RHP Jairo Asencio to Baltimore Orioles.
Kramer Sneed,New York Yankees,Los Angeles Angels,595418,Los Angeles Angels traded LF Vernon Wells to New York Yankees for RF Exicardo Cayones and LHP Kramer Sneed.
Exicardo Cayones,New York Yankees,Los Angeles Angels,553870,Los Angeles Angels traded LF Vernon Wells to New York Yankees for RF Exicardo Cayones and LHP Kramer Sneed.
Vernon Wells,Los Angeles Angels,New York Yankees,150484,Los Angeles Angels traded LF Vernon Wells to New York Yankees for RF Exicardo Cayones and LHP Kramer Sneed.
Elvin Ramirez,New York Mets,Los Angeles Angels,468517,New York Mets traded RHP Elvin Ramirez to Los Angeles Angels.
Steve Geltz,Los Angeles Angels,Tampa Bay Rays,544993,Tampa Bay Rays traded RHP Dane De La Rosa to Los Angeles Angels for RHP Steve Geltz.
Dane De La Rosa,Tampa Bay Rays,Los Angeles Angels,451773,Tampa Bay Rays traded RHP Dane De La Rosa to Los Angeles Angels for RHP Steve Geltz.
Scott Proctor,San Francisco Giants,Baltimore Orioles,429984,San Francisco Giants traded RHP Scott Proctor to Baltimore Orioles.
Brian Jeroloman,Cleveland Indians,Pittsburgh Pirates,502089,Cleveland Indians traded C Brian Jeroloman to Pittsburgh Pirates.
Lars Anderson,Toronto Blue Jays,Chicago White Sox,502249,Toronto Blue Jays traded 1B Lars Anderson to Chicago White Sox.
Jake Goebbert,Houston Astros,Oakland Athletics,572876,Oakland Athletics traded LHP Travis Blackley to Houston Astros for RF Jake Goebbert.
Travis Blackley,Oakland Athletics,Houston Astros,429715,Oakland Athletics traded LHP Travis Blackley to Houston Astros for RF Jake Goebbert.
Stephen Vogt,Tampa Bay Rays,Oakland Athletics,519390,Tampa Bay Rays traded C Stephen Vogt to Oakland Athletics for Player To Be Named Later.
Ramon Hernandez,Colorado Rockies,Los Angeles Dodgers,150421,Los Angeles Dodgers traded Aaron Harang to Colorado Rockies for C Ramon Hernandez.
Aaron Harang,Los Angeles Dodgers,Colorado Rockies,421685,Los Angeles Dodgers traded Aaron Harang to Colorado Rockies for C Ramon Hernandez.
Robinson Chirinos,Tampa Bay Rays,Texas Rangers,455139,Tampa Bay Rays traded C Robinson Chirinos to Texas Rangers.
Luis Ayala,Baltimore Orioles,Atlanta Braves,425646,Baltimore Orioles traded RHP Luis Ayala to Atlanta Braves for LHP Chris Jones.
Chris Jones,Atlanta Braves,Baltimore Orioles,518854,Baltimore Orioles traded RHP Luis Ayala to Atlanta Braves for LHP Chris Jones.
Steven Hensley,Seattle Mariners,Colorado Rockies,475622,Colorado Rockies traded RHP Aaron Harang to Seattle Mariners for RHP Steven Hensley.
Aaron Harang,Colorado Rockies,Seattle Mariners,421685,Colorado Rockies traded RHP Aaron Harang to Seattle Mariners for RHP Steven Hensley.
Chris Wallace,Houston Astros,Cleveland Indians,548300,Houston Astros traded C Chris Wallace to Cleveland Indians for LHP Eric Berger.
Eric Berger,Cleveland Indians,Houston Astros,446354,Houston Astros traded C Chris Wallace to Cleveland Indians for LHP Eric Berger.
Jeff Beliveau,Texas Rangers,Tampa Bay Rays,542924,Texas Rangers traded LHP Jeff Beliveau to Tampa Bay Rays.
Casper Wells,Toronto Blue Jays,Oakland Athletics,489413,Toronto Blue Jays traded LF Casper Wells to Oakland Athletics.
Roman Colon,Pittsburgh Pirates,Atlanta Braves,430638,Pittsburgh Pirates traded RHP Roman Colon to Atlanta Braves.
Chris Snyder,Los Angeles Angels,Baltimore Orioles,430965,Los Angeles Angels traded C Chris Snyder to Baltimore Orioles for RHP Rob Delaney.
Rob Delaney,Baltimore Orioles,Los Angeles Angels,503438,Los Angeles Angels traded C Chris Snyder to Baltimore Orioles for RHP Rob Delaney.
Casper Wells,Oakland Athletics,Chicago White Sox,489413,Oakland Athletics traded Casper Wells to Chicago White Sox for cash.
Mark Teahen,Arizona Diamondbacks,Cincinnati Reds,433597,Arizona Diamondbacks traded 3B Mark Teahen to Cincinnati Reds.
Mark Teahen,Cincinnati Reds,Arizona Diamondbacks,433597,Cincinnati Reds traded 3B Mark Teahen to Arizona Diamondbacks.
Chris Nelson,Colorado Rockies,New York Yankees,455126,Colorado Rockies traded 3B Chris Nelson to New York Yankees for cash.
Brandon Wood,Kansas City Royals,Baltimore Orioles,457420,Kansas City Royals traded 3B Brandon Wood to Baltimore Orioles.
Alberto Gonzalez,Chicago Cubs,New York Yankees,471868,Chicago Cubs traded 2B Alberto Gonzalez to New York Yankees.
Reid Brignac,Colorado Rockies,New York Yankees,458582,Colorado Rockies traded Reid Brignac to New York Yankees.
Reid Brignac,Colorado Rockies,New York Yankees,458582,Colorado Rockies traded SS Reid Brignac to New York Yankees.
Francisco Martinez,Seattle Mariners,Detroit Tigers,541648,Seattle Mariners traded 3B Francisco Martinez to Detroit Tigers.
Thomas Keeling,Milwaukee Brewers,Atlanta Braves,572375,Atlanta Braves traded 1B Juan Francisco to Milwaukee Brewers for LHP Thomas Keeling.
Juan Francisco,Atlanta Braves,Milwaukee Brewers,464433,Atlanta Braves traded 1B Juan Francisco to Milwaukee Brewers for LHP Thomas Keeling.
Vinnie Catricala,Seattle Mariners,Oakland Athletics,502775,Seattle Mariners traded 3B Vinnie Catricala to Oakland Athletics.
John McDonald,Pittsburgh Pirates,Cleveland Indians,150348,Pittsburgh Pirates traded SS John McDonald to Cleveland Indians.
Henry Alberto Rodriguez,Washington Nationals,Chicago Cubs,469159,Washington Nationals traded RHP Henry Alberto Rodriguez to Chicago Cubs for RHP Ian Dickson and RHP Ian Dickson.
Ian Dickson,Chicago Cubs,Washington Nationals,607514,Washington Nationals traded RHP Henry Alberto Rodriguez to Chicago Cubs for RHP Ian Dickson and RHP Ian Dickson.
Ian Dickson,Chicago Cubs,Washington Nationals,607514,Washington Nationals traded RHP Henry Alberto Rodriguez to Chicago Cubs for RHP Ian Dickson and RHP Ian Dickson.
Carl Thomore,Colorado Rockies,Chicago White Sox,605505,Colorado Rockies traded OF Carl Thomore to Chicago White Sox.
Pedro Ciriaco,Boston Red Sox,San Diego Padres,465674,Boston Red Sox traded SS Pedro Ciriaco to San Diego Padres.
Eric Young Jr.,Colorado Rockies,New York Mets,458913,Colorado Rockies traded LF Eric Young Jr. to New York Mets for RHP Collin McHugh.
Collin McHugh,New York Mets,Colorado Rockies,543521,Colorado Rockies traded LF Eric Young Jr. to New York Mets for RHP Collin McHugh.
Brent Lillibridge,Chicago Cubs,New York Yankees,452121,Chicago Cubs traded 2B Brent Lillibridge to New York Yankees.
Yoshinori Tateyama,Texas Rangers,New York Yankees,599899,Texas Rangers traded RHP Yoshinori Tateyama to New York Yankees.
Collin Cowgill,New York Mets,Los Angeles Angels,518577,Burlington Bees Traded RF Kyle Johnson to Savannah Sand Gnats and New York Mets Traded CF Collin Cowgill to Los Angeles Angels.
John McDonald,Cleveland Indians,Philadelphia Phillies,150348,Cleveland Indians traded John McDonald to Philadelphia Phillies.
Eric Thames,Seattle Mariners,Baltimore Orioles,519346,Seattle Mariners traded RF Eric Thames to Baltimore Orioles for 3B Ty Kelly.
Ty Kelly,Baltimore Orioles,Seattle Mariners,571841,Seattle Mariners traded RF Eric Thames to Baltimore Orioles for 3B Ty Kelly.
Pedro Strop,Baltimore Orioles,Chicago Cubs,467008,Chicago Cubs traded RHP Scott Feldman and C Steve Clevenger to Baltimore Orioles for RHP Jake Arrieta and RHP Pedro Strop.
Jake Arrieta,Baltimore Orioles,Chicago Cubs,453562,Chicago Cubs traded RHP Scott Feldman and C Steve Clevenger to Baltimore Orioles for RHP Jake Arrieta and RHP Pedro Strop.
Scott Feldman,Chicago Cubs,Baltimore Orioles,444857,Chicago Cubs traded RHP Scott Feldman and C Steve Clevenger to Baltimore Orioles for RHP Jake Arrieta and RHP Pedro Strop.
Steve Clevenger,Chicago Cubs,Baltimore Orioles,502182,Chicago Cubs traded RHP Scott Feldman and C Steve Clevenger to Baltimore Orioles for RHP Jake Arrieta and RHP Pedro Strop.
Carlos Marmol,Chicago Cubs,Los Angeles Dodgers,461791,Chicago Cubs traded RHP Carlos Marmol to Los Angeles Dodgers for RHP Matt Guerrier.
Matt Guerrier,Los Angeles Dodgers,Chicago Cubs,407825,Chicago Cubs traded RHP Carlos Marmol to Los Angeles Dodgers for RHP Matt Guerrier.
Ronald Torreyes,Chicago Cubs,Houston Astros,591720,Chicago Cubs traded 2B Ronald Torreyes to Houston Astros.
Angel Sanchez,Los Angeles Dodgers,Miami Marlins,605795,"Miami Marlins traded RHP Ricky Nolasco to Los Angeles Dodgers for RHP Steve Ames, RHP Josh Wall and RHP Angel Sanchez."
Alex Liddi,Seattle Mariners,Baltimore Orioles,499926,Seattle Mariners traded 1B Alex Liddi to Baltimore Orioles.
Josh Wall,Los Angeles Dodgers,Miami Marlins,476205,"Miami Marlins traded RHP Ricky Nolasco to Los Angeles Dodgers for RHP Steve Ames, RHP Josh Wall and RHP Angel Sanchez."
Ricky Nolasco,Miami Marlins,Los Angeles Dodgers,445060,"Miami Marlins traded RHP Ricky Nolasco to Los Angeles Dodgers for RHP Steve Ames, RHP Josh Wall and RHP Angel Sanchez."
Steve Ames,Los Angeles Dodgers,Miami Marlins,571441,"Miami Marlins traded RHP Ricky Nolasco to Los Angeles Dodgers for RHP Steve Ames, RHP Josh Wall and RHP Angel Sanchez."
K.J. Trader,,Boston Red Sox,642149,Boston Red Sox signed RHP K.J. Trader.
Scott Hairston,Chicago Cubs,Washington Nationals,430668,Chicago Cubs traded LF Scott Hairston to Washington Nationals for RHP Ivan Pineyro.
Ivan Pineyro,Washington Nationals,Chicago Cubs,606335,Chicago Cubs traded LF Scott Hairston to Washington Nationals for RHP Ivan Pineyro.
Mitchell Boggs,St. Louis Cardinals,Colorado Rockies,459939,St. Louis Cardinals traded RHP Mitchell Boggs to Colorado Rockies.
Tim Alderson,Pittsburgh Pirates,Baltimore Orioles,518396,Baltimore Orioles traded 3B Russ Canzler to Pittsburgh Pirates for RHP Tim Alderson.
Russ Canzler,Baltimore Orioles,Pittsburgh Pirates,444453,Baltimore Orioles traded 3B Russ Canzler to Pittsburgh Pirates for RHP Tim Alderson.
Matt Thornton,Chicago White Sox,Boston Red Sox,407819,Chicago White Sox traded LHP Matt Thornton to Boston Red Sox for LF Brandon Jacobs.
Brandon Jacobs,Boston Red Sox,Chicago White Sox,571806,Chicago White Sox traded LHP Matt Thornton to Boston Red Sox for LF Brandon Jacobs.
Parker Frazier,Colorado Rockies,Cincinnati Reds,518691,Colorado Rockies traded RHP Parker Frazier to Cincinnati Reds for RHP Armando Galarraga.
Armando Galarraga,Cincinnati Reds,Colorado Rockies,451482,Colorado Rockies traded RHP Parker Frazier to Cincinnati Reds for RHP Armando Galarraga.
Justin Grimm,Texas Rangers,Chicago Cubs,518748,"Chicago Cubs traded RHP Matt Garza to Texas Rangers for RHP C.J. Edwards, RHP Justin Grimm, 1B Mike Olt and Player To Be Named Later."
Matt Garza,Chicago Cubs,Texas Rangers,490063,"Chicago Cubs traded RHP Matt Garza to Texas Rangers for RHP C.J. Edwards, RHP Justin Grimm, 1B Mike Olt and Player To Be Named Later."
Mike Olt,Texas Rangers,Chicago Cubs,592609,"Chicago Cubs traded RHP Matt Garza to Texas Rangers for RHP C.J. Edwards, RHP Justin Grimm, 1B Mike Olt and Player To Be Named Later."
Carl Edwards Jr.,Texas Rangers,Chicago Cubs,605218,"Chicago Cubs traded RHP Matt Garza to Texas Rangers for RHP C.J. Edwards, RHP Justin Grimm, 1B Mike Olt and Player To Be Named Later."
Francisco Rodriguez,Milwaukee Brewers,Baltimore Orioles,408061,Milwaukee Brewers traded RHP Francisco Rodriguez to Baltimore Orioles for 3B Nick Delmonico.
Nicky Delmonico,Baltimore Orioles,Milwaukee Brewers,547170,Milwaukee Brewers traded RHP Francisco Rodriguez to Baltimore Orioles for 3B Nick Delmonico.
Guillermo Moscoso,Chicago Cubs,San Francisco Giants,446861,Chicago Cubs traded RHP Guillermo Moscoso to San Francisco Giants.
Corey Black,New York Yankees,Chicago Cubs,621203,Chicago Cubs traded cash and LF Alfonso Soriano to New York Yankees for RHP Corey Black.
Alfonso Soriano,Chicago Cubs,New York Yankees,150093,Chicago Cubs traded cash and LF Alfonso Soriano to New York Yankees for RHP Corey Black.
Julio Concepcion,New York Mets,Los Angeles Angels,516767,New York Mets traded RF Julio Concepcion to Los Angeles Angels.
Danry Vasquez,Detroit Tigers,Houston Astros,606281,Houston Astros traded RHP Jose Veras to Detroit Tigers for OF Danry Vasquez.
Jose Veras,Houston Astros,Detroit Tigers,407842,Houston Astros traded RHP Jose Veras to Detroit Tigers for OF Danry Vasquez.
Jesse Crain,Chicago White Sox,Tampa Bay Rays,430884,Chicago White Sox traded RHP Jesse Crain to Tampa Bay Rays.
Scott Downs,Los Angeles Angels,Atlanta Braves,275933,Los Angeles Angels traded LHP Scott Downs to Atlanta Braves for RHP Cory Rasmus.
Cory Rasmus,Atlanta Braves,Los Angeles Angels,474284,Los Angeles Angels traded LHP Scott Downs to Atlanta Braves for RHP Cory Rasmus.
Juan Herrera,Cleveland Indians,St. Louis Cardinals,601983,St. Louis Cardinals traded LHP Marc Rzepczynski to Cleveland Indians for 2B Juan Herrera.
Marc Rzepczynski,St. Louis Cardinals,Cleveland Indians,519240,St. Louis Cardinals traded LHP Marc Rzepczynski to Cleveland Indians for 2B Juan Herrera.
Ian Kennedy,Arizona Diamondbacks,San Diego Padres,453178,Arizona Diamondbacks traded RHP Ian Kennedy to San Diego Padres for LHP Joe Thatcher and RHP Matt Stites.
Matt Stites,San Diego Padres,Arizona Diamondbacks,592781,Arizona Diamondbacks traded RHP Ian Kennedy to San Diego Padres for LHP Joe Thatcher and RHP Matt Stites.
Joe Thatcher,San Diego Padres,Arizona Diamondbacks,491159,Arizona Diamondbacks traded RHP Ian Kennedy to San Diego Padres for LHP Joe Thatcher and RHP Matt Stites.
J.B. Wendelken,Boston Red Sox,Chicago White Sox,605525,"Chicago White Sox traded RHP Jake Peavy to Boston Red Sox for RHP Francellis Montas, SS Cleuluis Rondon and RHP Jeffrey Wendelken."
Frankie Montas,Boston Red Sox,Chicago White Sox,593423,"Chicago White Sox traded RHP Jake Peavy to Boston Red Sox for RHP Francellis Montas, SS Cleuluis Rondon and RHP Jeffrey Wendelken."
Jake Peavy,Chicago White Sox,Boston Red Sox,408241,"Chicago White Sox traded RHP Jake Peavy to Boston Red Sox for RHP Francellis Montas, SS Cleuluis Rondon and RHP Jeffrey Wendelken."
Cleuluis Rondon,Boston Red Sox,Chicago White Sox,600967,"Chicago White Sox traded RHP Jake Peavy to Boston Red Sox for RHP Francellis Montas, SS Cleuluis Rondon and RHP Jeffrey Wendelken."
Avisail Garcia,Boston Red Sox,Chicago White Sox,541645,Boston Red Sox traded RF Avisail Garcia to Chicago White Sox.
Jose Iglesias,Boston Red Sox,Detroit Tigers,578428,Detroit Tigers traded RF Avisail Garcia and RHP Brayan Villarreal to Boston Red Sox for SS Jose Iglesias.
Brayan Villarreal,Detroit Tigers,Boston Red Sox,500903,Detroit Tigers traded RF Avisail Garcia and RHP Brayan Villarreal to Boston Red Sox for SS Jose Iglesias.
Avisail Garcia,Detroit Tigers,Boston Red Sox,541645,Detroit Tigers traded RF Avisail Garcia and RHP Brayan Villarreal to Boston Red Sox for SS Jose Iglesias.
Josh Hader,Baltimore Orioles,Houston Astros,623352,Houston Astros traded RHP Bud Norris to Baltimore Orioles for LF L.J. Hoes and LHP Josh Hader.
Bud Norris,Houston Astros,Baltimore Orioles,502032,Houston Astros traded RHP Bud Norris to Baltimore Orioles for LF L.J. Hoes and LHP Josh Hader.
L.J. Hoes,Baltimore Orioles,Houston Astros,543321,Houston Astros traded RHP Bud Norris to Baltimore Orioles for LF L.J. Hoes and LHP Josh Hader.
Drew Butera,Minnesota Twins,Los Angeles Dodgers,460077,Minnesota Twins traded C Drew Butera to Los Angeles Dodgers.
Kyle Smith,Kansas City Royals,Houston Astros,596106,Houston Astros traded CF Justin Maxwell to Kansas City Royals for RHP Kyle Smith.
Justin Maxwell,Houston Astros,Kansas City Royals,452239,Houston Astros traded CF Justin Maxwell to Kansas City Royals for RHP Kyle Smith.
Alberto Callaspo,Los Angeles Angels,Oakland Athletics,430948,Los Angeles Angels traded 1B Alberto Callaspo to Oakland Athletics for 2B Grant Green.
Grant Green,Oakland Athletics,Los Angeles Angels,502205,Los Angeles Angels traded 1B Alberto Callaspo to Oakland Athletics for 2B Grant Green.
Robert Andino,Seattle Mariners,Pittsburgh Pirates,435180,Seattle Mariners traded 2B Robert Andino to Pittsburgh Pirates.
Leury Garcia,Texas Rangers,Chicago White Sox,544725,Chicago White Sox traded RF Alex Rios to Texas Rangers for 2B Leury Garcia.
Alex Rios,Chicago White Sox,Texas Rangers,425567,Chicago White Sox traded RF Alex Rios to Texas Rangers for 2B Leury Garcia.
Jamey Carroll,Minnesota Twins,Kansas City Royals,425206,Minnesota Twins traded 2B Jamey Carroll to Kansas City Royals.
Miguel Sulbaran,Los Angeles Dodgers,Minnesota Twins,606246,Los Angeles Dodgers traded LHP Miguel Sulbaran to Minnesota Twins.
Emilio Bonifacio,Toronto Blue Jays,Kansas City Royals,466988,Toronto Blue Jays traded 2B Emilio Bonifacio to Kansas City Royals.
Travis Blackley,Houston Astros,Texas Rangers,429715,Houston Astros traded LHP Travis Blackley to Texas Rangers.
Leo Heras,Diablos Rojos del Mexico,Houston Astros,511428,Diablos Rojos del Mexico traded 1B Japhet Amador and OF Leo Heras to Houston Astros.
Doug Mathis,Miami Marlins,Pittsburgh Pirates,450545,Miami Marlins traded RHP Doug Mathis to Pittsburgh Pirates.
Japhet Amador,Diablos Rojos del Mexico,Houston Astros,515189,Diablos Rojos del Mexico traded 1B Japhet Amador and OF Leo Heras to Houston Astros.
David DeJesus,Chicago Cubs,Washington Nationals,430203,Chicago Cubs traded CF David DeJesus to Washington Nationals.
Kurt Suzuki,Washington Nationals,Oakland Athletics,435559,Washington Nationals traded C Kurt Suzuki to Oakland Athletics for RHP Dakota Bacus.
Dakota Bacus,Oakland Athletics,Washington Nationals,621290,Washington Nationals traded C Kurt Suzuki to Oakland Athletics for RHP Dakota Bacus.
David DeJesus,Washington Nationals,Tampa Bay Rays,430203,Washington Nationals traded LF David DeJesus to Tampa Bay Rays.
Neil Ramirez,Texas Rangers,Chicago Cubs,519166,Texas Rangers traded RHP Neil Ramirez to Chicago Cubs.
Dilson Herrera,Pittsburgh Pirates,New York Mets,599096,New York Mets traded C John Buck and RF Marlon Byrd to Pittsburgh Pirates for 2B Dilson Herrera.
Clayton Mortensen,Boston Red Sox,Kansas City Royals,489150,Kansas City Royals traded LF Quintin Berry to Boston Red Sox for RHP Clayton Mortensen.
John Buck,New York Mets,Pittsburgh Pirates,407833,New York Mets traded C John Buck and RF Marlon Byrd to Pittsburgh Pirates for 2B Dilson Herrera.
Marlon Byrd,New York Mets,Pittsburgh Pirates,407781,New York Mets traded C John Buck and RF Marlon Byrd to Pittsburgh Pirates for 2B Dilson Herrera.
Quintin Berry,Kansas City Royals,Boston Red Sox,450641,Kansas City Royals traded LF Quintin Berry to Boston Red Sox for RHP Clayton Mortensen.
Vic Black,Pittsburgh Pirates,New York Mets,502195,Pittsburgh Pirates traded RHP Vic Black to New York Mets.
Jason Kubel,Arizona Diamondbacks,Cleveland Indians,430585,Arizona Diamondbacks traded LF Jason Kubel to Cleveland Indians for RHP Matt Langwell.
Matt Langwell,Cleveland Indians,Arizona Diamondbacks,543426,Arizona Diamondbacks traded LF Jason Kubel to Cleveland Indians for RHP Matt Langwell.
John Axford,Milwaukee Brewers,St. Louis Cardinals,446099,Milwaukee Brewers traded RHP John Axford to St. Louis Cardinals for Player To Be Named Later.
Michael Morse,Seattle Mariners,Baltimore Orioles,434604,Baltimore Orioles traded LF Xavier Avery to Seattle Mariners for LF Michael Morse.
Xavier Avery,Baltimore Orioles,Seattle Mariners,542897,Baltimore Orioles traded LF Xavier Avery to Seattle Mariners for LF Michael Morse.
Nefi Ogando,Boston Red Sox,Philadelphia Phillies,596331,Philadelphia Phillies traded SS John McDonald to Boston Red Sox for RHP Nefi Ogando.
John McDonald,Philadelphia Phillies,Boston Red Sox,150348,Philadelphia Phillies traded SS John McDonald to Boston Red Sox for RHP Nefi Ogando.
